               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11783,             0.27916,            0.041099,            0.029939,            0.017073,            0.016293,           0.0049649,             0.10566,             0.24262,            0.036632,            0.070357,           0.0032937,           0.0032937
                   1,              0.1022,             0.26989,            0.033984,            0.075573,            0.069796,            0.053754,            0.019869,             0.09404,             0.22466,            0.031631,            0.040138,           0.0064083,           0.0064083
                   2,            0.092235,             0.29335,            0.030602,            0.097223,             0.16103,            0.086967,            0.030156,            0.087602,             0.23443,            0.029378,           0.0096998,           0.0093029,           0.0093029
                   3,             0.08584,             0.29012,            0.029307,             0.13468,              0.2343,             0.14103,            0.056266,            0.076442,             0.23153,            0.027921,             0.00901,             0.00901,             0.00901
                   4,            0.081998,             0.28974,            0.028053,             0.13029,             0.22808,             0.13322,            0.053413,            0.077874,             0.22847,            0.026815,             0.00901,             0.00901,             0.00901
                   5,             0.07909,             0.29688,            0.026799,             0.16964,             0.35968,             0.23448,            0.095163,            0.073173,             0.22529,            0.025619,             0.00868,             0.00868,             0.00868
                   6,            0.076086,             0.28617,            0.025623,             0.45384,             0.42996,             0.32372,             0.13898,             0.06813,             0.22704,            0.024037,             0.00835,             0.00835,             0.00835
                   7,            0.071917,             0.28968,            0.024956,             0.46979,             0.39314,             0.30744,             0.13863,            0.066544,             0.22822,            0.023063,             0.00802,             0.00802,             0.00802
                   8,            0.071145,             0.28602,            0.023934,             0.43234,             0.45659,             0.29589,             0.13131,            0.063849,             0.22202,            0.022008,             0.00769,             0.00769,             0.00769
                   9,            0.069122,             0.28102,            0.022977,             0.81486,             0.31653,             0.40059,             0.16434,            0.064632,             0.21871,             0.02179,             0.00736,             0.00736,             0.00736
                  10,            0.068271,             0.27668,            0.022934,             0.54296,             0.50379,             0.44717,             0.20997,             0.06067,             0.21561,            0.021527,             0.00703,             0.00703,             0.00703
                  11,            0.066136,             0.28111,            0.021932,             0.57881,             0.47497,             0.45796,             0.21289,            0.060997,             0.21788,            0.019948,              0.0067,              0.0067,              0.0067
                  12,            0.065529,             0.28137,             0.02136,             0.58776,              0.5138,             0.51072,             0.26756,            0.055677,             0.21693,            0.019956,             0.00637,             0.00637,             0.00637
                  13,            0.063453,             0.28105,            0.020787,             0.56381,             0.53845,             0.53437,             0.26837,            0.055927,             0.21327,            0.019548,             0.00604,             0.00604,             0.00604
                  14,            0.064022,             0.28437,            0.019898,             0.47585,             0.57447,             0.55289,             0.28865,            0.054771,               0.217,            0.019386,             0.00571,             0.00571,             0.00571
                  15,            0.062146,             0.26816,            0.019621,             0.51322,             0.59968,             0.57839,             0.29644,            0.055802,              0.2128,            0.018851,             0.00538,             0.00538,             0.00538
                  16,            0.062283,              0.2759,            0.019575,             0.55458,             0.59224,             0.58052,             0.29919,            0.056074,             0.21077,            0.017995,             0.00505,             0.00505,             0.00505
                  17,            0.059973,             0.26972,            0.018924,             0.60919,               0.537,              0.5812,             0.29843,            0.055445,             0.21054,            0.017365,             0.00472,             0.00472,             0.00472
                  18,            0.060527,             0.27625,            0.018361,             0.56189,             0.58071,             0.60061,             0.31481,            0.054626,             0.21204,            0.017415,             0.00439,             0.00439,             0.00439
                  19,            0.059578,             0.27393,            0.018797,              0.5655,             0.63294,             0.62089,             0.33504,            0.053156,             0.21017,            0.016606,             0.00406,             0.00406,             0.00406
                  20,            0.059775,             0.27531,            0.018042,             0.55839,             0.59976,             0.61535,             0.33964,            0.052549,             0.20963,            0.017983,             0.00373,             0.00373,             0.00373
                  21,            0.058942,             0.27027,             0.01736,             0.62629,             0.62544,             0.63568,             0.34336,            0.053427,             0.21204,            0.015988,              0.0034,              0.0034,              0.0034
                  22,             0.05853,             0.27277,            0.017866,             0.62783,             0.62003,             0.63211,             0.34954,             0.05234,             0.20865,            0.015975,             0.00307,             0.00307,             0.00307
                  23,            0.058052,             0.26811,            0.017447,             0.63718,             0.60794,              0.6437,              0.3593,            0.052141,             0.20805,             0.01594,             0.00274,             0.00274,             0.00274
                  24,            0.056645,             0.26595,            0.016976,             0.61152,             0.62221,             0.63321,             0.35701,            0.051941,             0.20729,            0.015606,             0.00241,             0.00241,             0.00241
                  25,            0.057213,             0.26944,            0.017576,             0.65127,              0.6097,             0.63723,             0.36109,            0.051767,             0.20719,            0.015705,             0.00208,             0.00208,             0.00208
                  26,            0.056323,              0.2605,            0.016481,             0.65521,             0.60245,             0.64419,             0.36769,            0.051447,             0.20608,            0.016255,             0.00175,             0.00175,             0.00175
                  27,            0.056632,              0.2666,             0.01684,             0.62632,             0.63555,             0.64809,             0.36915,            0.051334,             0.20568,            0.015281,             0.00142,             0.00142,             0.00142
                  28,            0.056861,             0.26919,            0.016724,             0.66021,             0.60465,             0.64893,             0.37159,            0.051248,             0.20479,            0.015365,             0.00109,             0.00109,             0.00109
                  29,            0.056057,              0.2634,            0.016861,             0.64145,             0.61725,             0.65204,             0.37536,            0.051095,             0.20623,            0.015252,             0.00076,             0.00076,             0.00076
