               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11988,             0.33517,            0.045496,            0.011839,            0.020756,           0.0060494,           0.0014325,             0.11771,             0.27605,            0.046393,             0.09109,               9e-05,               9e-05
                   1,             0.11435,             0.35659,            0.045035,            0.019313,            0.029903,            0.010008,           0.0023615,             0.11217,             0.28687,            0.046234,            0.081189,          0.00018937,          0.00018937
                   2,             0.10762,             0.38363,             0.04475,            0.021366,            0.044309,            0.011238,           0.0030599,             0.10321,             0.33151,            0.046039,            0.071288,          0.00028807,          0.00028807
                   3,             0.10133,             0.43504,            0.044179,            0.023362,             0.03579,            0.012384,           0.0035012,            0.093617,             0.40396,            0.046063,            0.061386,           0.0003861,           0.0003861
                   4,            0.096301,             0.45057,            0.043318,            0.042045,            0.077273,            0.023764,           0.0068483,            0.088872,             0.46042,            0.045679,            0.051483,          0.00048347,          0.00048347
                   5,            0.094807,             0.43483,            0.043014,            0.055934,            0.094493,            0.035673,            0.010349,            0.086923,             0.45059,            0.045508,             0.04158,          0.00058018,          0.00058018
                   6,            0.091598,             0.44563,            0.042382,            0.076876,             0.14579,            0.053001,            0.015557,            0.082799,             0.43173,            0.045685,            0.031676,          0.00067621,          0.00067621
                   7,            0.087703,             0.40836,            0.041905,            0.095932,             0.19658,            0.070081,            0.021007,            0.076895,             0.42355,            0.045483,            0.021772,          0.00077159,          0.00077159
                   8,            0.082651,             0.40435,            0.041287,             0.11337,             0.21935,            0.081295,            0.025837,            0.070014,             0.49158,            0.045013,            0.011866,          0.00086629,          0.00086629
                   9,            0.075118,             0.38735,            0.040466,             0.14088,             0.25511,             0.10156,            0.036634,            0.062406,             0.52731,            0.044446,           0.0019603,          0.00096033,          0.00096033
                  10,            0.066817,             0.37694,            0.039969,             0.15387,             0.30434,              0.1212,            0.048509,            0.058834,              0.5755,            0.043597,           0.0009667,           0.0009667,           0.0009667
                  11,            0.063138,             0.41437,             0.03948,             0.16866,              0.3819,             0.15513,            0.063957,            0.053698,              0.5372,            0.042865,           0.0009667,           0.0009667,           0.0009667
                  12,            0.057803,             0.39568,            0.039236,             0.17784,             0.40559,             0.17091,            0.075826,            0.049987,             0.49197,            0.042169,          0.00096337,          0.00096337,          0.00096337
                  13,            0.055664,             0.40626,            0.038572,             0.20417,              0.4836,             0.21785,             0.10021,            0.047336,             0.42523,            0.041016,          0.00096004,          0.00096004,          0.00096004
                  14,             0.05296,             0.38795,            0.037982,             0.25271,              0.5874,             0.28185,             0.13526,            0.044937,             0.35072,            0.040204,          0.00095671,          0.00095671,          0.00095671
                  15,            0.051572,             0.37629,            0.037349,             0.26982,             0.60077,             0.29985,             0.15212,            0.042166,             0.34705,            0.039832,          0.00095338,          0.00095338,          0.00095338
                  16,            0.050601,             0.39281,            0.036837,             0.29143,             0.59647,             0.32409,             0.16358,            0.040853,              0.3362,            0.039264,          0.00095005,          0.00095005,          0.00095005
                  17,            0.049428,             0.38204,            0.035995,             0.31009,             0.65601,             0.36144,             0.18894,             0.03968,             0.30731,            0.038742,          0.00094672,          0.00094672,          0.00094672
                  18,            0.048095,             0.38877,             0.03528,             0.31692,             0.65777,             0.37279,             0.20247,            0.038952,             0.30731,              0.0383,          0.00094339,          0.00094339,          0.00094339
