               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11592,             0.35178,            0.044741,          0.00067691,           0.0016098,          0.00034052,           7.071e-05,             0.10806,              2.0408,            0.048047,              0.0964,              0.0004,              0.0004
                   1,            0.089463,             0.46523,             0.04091,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.29282,            0.091897,          0.00089703,          0.00089703
                   2,            0.078725,             0.43083,            0.039812,            0.016683,            0.017319,            0.008795,           0.0022889,                 nan,                 nan,                 nan,            0.087391,           0.0013908,           0.0013908
                   3,            0.072259,             0.45143,            0.038658,           0.0014724,            0.011091,          0.00075164,          0.00018352,                 nan,                 nan,                 nan,            0.082881,           0.0018812,           0.0018812
                   4,            0.067808,             0.43595,            0.037095,           0.0019775,            0.018847,           0.0010224,          0.00022259,                 nan,                 nan,                 nan,            0.078368,           0.0023683,           0.0023683
                   5,            0.065568,             0.46236,            0.035498,           0.0063913,            0.024845,           0.0032589,          0.00072237,                 nan,                 nan,                 nan,            0.073852,           0.0028522,           0.0028522
                   6,            0.061731,             0.42724,            0.034076,            0.020047,            0.087329,            0.011958,           0.0032557,                 nan,                 nan,              72.188,            0.069333,           0.0033327,           0.0033327
                   7,            0.060465,             0.41874,            0.033714,            0.012896,            0.034387,           0.0066786,           0.0015658,                 nan,                 nan,               18.82,             0.06481,           0.0038099,           0.0038099
                   8,            0.060531,             0.43074,            0.031931,            0.002722,            0.024232,           0.0014387,          0.00035219,                 nan,                 nan,              10.451,            0.060284,           0.0042838,           0.0042838
                   9,            0.058375,             0.43424,            0.031188,              0.0116,            0.045202,           0.0060522,           0.0014197,                 nan,                 nan,              7.1068,            0.055754,           0.0047545,           0.0047545
                  10,            0.058634,              0.3914,             0.02956,            0.017263,             0.11412,            0.011229,           0.0023434,                 nan,                 nan,              2.1788,            0.051222,           0.0052218,           0.0052218
                  11,            0.057464,             0.44735,            0.028685,            0.020522,             0.05624,            0.011094,            0.001635,                 nan,                 nan,             0.64938,            0.046686,           0.0056858,           0.0056858
                  12,            0.056805,             0.42119,            0.027462,             0.22825,             0.18691,             0.12029,            0.032026,                 nan,                 nan,             0.67267,            0.042147,           0.0061466,           0.0061466
                  13,            0.056382,             0.43307,            0.026196,             0.12321,             0.18706,             0.08071,            0.024887,                 nan,                 nan,             0.31343,            0.037604,            0.006604,            0.006604
                  14,             0.05542,             0.41699,            0.024877,             0.12215,              0.2409,            0.077978,            0.027375,                 nan,                 nan,             0.19509,            0.033058,           0.0070581,           0.0070581
                  15,            0.055635,             0.40376,            0.023502,             0.17013,             0.30412,             0.12466,            0.034325,                 nan,                 nan,             0.10238,            0.028509,           0.0075089,           0.0075089
                  16,            0.055953,             0.41516,            0.022913,              0.1808,             0.32489,              0.1236,            0.036946,             0.08011,               1.152,            0.089001,            0.023956,           0.0079565,           0.0079565
                  17,            0.055567,              0.3882,            0.022119,              0.1152,             0.45357,             0.10298,            0.028539,             0.08124,              1.1819,            0.061462,            0.019401,           0.0084007,           0.0084007
                  18,            0.055555,             0.41216,            0.022374,             0.37157,             0.43679,             0.14158,            0.041887,            0.069653,             0.91138,            0.057251,            0.014842,           0.0088416,           0.0088416
                  19,            0.053829,             0.40621,            0.021618,             0.39381,             0.28988,             0.17464,            0.057656,            0.066534,             0.84058,            0.051904,            0.010279,           0.0092793,           0.0092793
                  20,            0.054074,             0.41954,            0.020914,              0.3546,             0.18745,              0.1457,            0.058702,            0.063725,             0.94348,            0.051062,             0.00934,             0.00934,             0.00934
                  21,             0.05415,             0.41008,            0.021097,             0.34763,             0.15583,             0.13261,            0.046291,            0.068576,             0.90979,            0.043445,             0.00934,             0.00934,             0.00934
                  22,            0.056915,             0.40492,            0.021023,             0.38578,             0.28606,             0.20158,            0.059239,            0.065392,             0.81055,            0.040729,            0.009307,            0.009307,            0.009307
                  23,            0.053871,             0.40206,            0.020675,             0.22886,             0.63726,             0.28838,             0.10593,            0.056781,             0.69617,            0.040125,            0.009274,            0.009274,            0.009274
                  24,            0.051422,             0.39189,            0.020647,              0.1996,             0.48162,             0.21165,             0.06961,            0.065579,             0.73303,            0.034827,            0.009241,            0.009241,            0.009241
                  25,            0.054891,               0.412,            0.019978,             0.22353,             0.33706,             0.22032,            0.079302,            0.058065,             0.79773,            0.038751,            0.009208,            0.009208,            0.009208
                  26,             0.05436,             0.40292,            0.021541,             0.43056,              0.2663,             0.20617,             0.08182,            0.058525,              0.7345,            0.044275,            0.009175,            0.009175,            0.009175
                  27,            0.054502,             0.43008,            0.020791,             0.40172,             0.23874,             0.19097,             0.06865,             0.05702,             0.61658,             0.04845,            0.009142,            0.009142,            0.009142
                  28,             0.05265,             0.40633,            0.020211,             0.24421,             0.51179,             0.24718,             0.10293,            0.054425,             0.64844,            0.037921,            0.009109,            0.009109,            0.009109
                  29,            0.052037,             0.42874,            0.019916,             0.40233,             0.24206,              0.1966,            0.076853,            0.054263,             0.76978,            0.046545,            0.009076,            0.009076,            0.009076
                  30,            0.050888,             0.40308,            0.018935,             0.25311,             0.48231,             0.29785,             0.11361,            0.053369,             0.61658,            0.032336,            0.009043,            0.009043,            0.009043
                  31,            0.052574,             0.42438,            0.019543,             0.29799,             0.39985,             0.28904,             0.12159,            0.051145,             0.67664,            0.033752,             0.00901,             0.00901,             0.00901
                  32,            0.051193,             0.40626,             0.01969,             0.27566,             0.60264,             0.35917,             0.13983,            0.050925,               0.526,            0.031854,            0.008977,            0.008977,            0.008977
                  33,            0.051817,             0.41519,            0.019446,              0.3233,             0.39903,             0.30408,             0.12163,            0.051022,             0.67114,            0.026953,            0.008944,            0.008944,            0.008944
                  34,            0.052743,             0.39259,            0.019318,             0.28198,             0.47021,             0.30716,             0.12141,             0.05156,             0.58533,            0.036206,            0.008911,            0.008911,            0.008911
                  35,            0.051813,             0.39606,             0.01915,             0.38941,             0.42246,             0.35125,             0.15431,            0.048947,             0.54651,            0.024579,            0.008878,            0.008878,            0.008878
                  36,            0.049713,             0.38679,            0.018627,             0.29864,             0.54667,             0.32613,              0.1306,            0.054169,             0.49329,            0.035583,            0.008845,            0.008845,            0.008845
                  37,            0.051444,             0.41868,            0.018594,             0.34568,             0.46584,             0.38363,             0.16458,            0.047589,             0.55505,            0.031647,            0.008812,            0.008812,            0.008812
                  38,            0.049218,             0.39971,            0.018373,             0.39226,             0.45443,             0.35557,             0.16009,            0.046426,             0.46643,            0.025928,            0.008779,            0.008779,            0.008779
                  39,            0.048387,             0.39205,            0.018758,             0.31202,             0.48398,             0.36119,             0.15456,            0.048583,             0.50391,            0.032037,            0.008746,            0.008746,            0.008746
                  40,            0.049599,             0.40327,            0.018205,             0.41723,             0.64622,             0.50331,              0.2139,            0.044852,             0.44672,            0.026874,            0.008713,            0.008713,            0.008713
                  41,            0.049555,             0.39613,            0.017672,             0.42828,             0.72026,             0.56795,             0.26322,            0.043684,             0.44604,            0.027344,             0.00868,             0.00868,             0.00868
                  42,            0.049823,              0.4164,            0.017427,              0.4539,             0.54472,              0.4604,             0.20912,            0.044625,             0.43408,            0.025513,            0.008647,            0.008647,            0.008647
                  43,            0.049526,             0.42076,            0.017455,             0.41775,             0.50058,             0.41498,             0.19723,             0.04329,             0.42188,            0.027216,            0.008614,            0.008614,            0.008614
                  44,            0.048385,             0.38331,            0.018577,             0.48384,             0.41561,             0.39491,             0.18616,            0.044326,             0.39624,             0.02218,            0.008581,            0.008581,            0.008581
                  45,            0.049195,             0.41588,            0.018274,              0.5653,             0.62215,             0.58443,             0.27764,             0.04482,             0.38293,            0.021637,            0.008548,            0.008548,            0.008548
                  46,            0.048813,             0.41212,            0.019048,             0.48928,             0.58618,             0.51953,             0.24251,            0.044243,             0.37201,            0.024634,            0.008515,            0.008515,            0.008515
