               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11592,             0.35181,            0.044742,          0.00073991,           0.0018148,          0.00037281,          7.2852e-05,             0.10805,               2.036,            0.048071,              0.0964,              0.0004,              0.0004
                   1,            0.089466,             0.46526,            0.040909,             0.25015,          7.3121e-05,          5.2049e-05,          5.2049e-06,                 nan,                 nan,             0.27448,            0.091897,          0.00089703,          0.00089703
                   2,            0.078756,             0.43084,            0.039827,            0.017831,            0.017991,           0.0094114,           0.0025515,                 nan,                 nan,                 nan,            0.087391,           0.0013908,           0.0013908
                   3,            0.072193,             0.45152,            0.038673,           0.0020272,            0.010813,           0.0010148,          0.00025964,                 nan,                 nan,                 nan,            0.082881,           0.0018812,           0.0018812
                   4,              0.0679,             0.43585,            0.037101,           0.0026232,            0.016052,           0.0013711,          0.00030154,                 nan,                 nan,                 nan,            0.078368,           0.0023683,           0.0023683
                   5,            0.065875,             0.46205,            0.035535,            0.012154,            0.032393,           0.0062507,           0.0014958,                 nan,                 nan,                 nan,            0.073852,           0.0028522,           0.0028522
                   6,            0.061794,             0.42775,            0.034082,            0.026749,             0.13244,            0.017099,           0.0045807,                 nan,                 nan,                 nan,            0.069333,           0.0033327,           0.0033327
                   7,            0.060363,             0.41835,            0.033749,            0.011429,            0.030536,           0.0059891,            0.001257,                 nan,                 nan,              19.771,             0.06481,           0.0038099,           0.0038099
                   8,            0.060289,             0.42956,            0.031888,           0.0027761,            0.013608,           0.0014127,          0.00036334,                 nan,                 nan,              12.938,            0.060284,           0.0042838,           0.0042838
                   9,            0.058866,             0.43583,            0.031081,           0.0074415,            0.032748,           0.0038081,          0.00073587,                 nan,                 nan,              6.9054,            0.055754,           0.0047545,           0.0047545
                  10,            0.058198,             0.39515,            0.029534,           0.0088614,            0.032286,           0.0057486,           0.0011195,                 nan,                 nan,              2.3672,            0.051222,           0.0052218,           0.0052218
                  11,            0.058952,             0.44689,            0.029227,           0.0069566,            0.069893,           0.0039265,           0.0008117,             0.11501,              1.1651,              1.0352,            0.046686,           0.0056858,           0.0056858
                  12,            0.057244,              0.4242,            0.027552,             0.27949,             0.17697,             0.14638,            0.047224,                 nan,                 nan,              2.1423,            0.042147,           0.0061466,           0.0061466
                  13,            0.056174,             0.43365,            0.026549,             0.24082,             0.19546,             0.12871,            0.043811,                 nan,                 nan,              1.0227,            0.037604,            0.006604,            0.006604
                  14,            0.055294,             0.41866,            0.025142,            0.094013,             0.26841,            0.069921,            0.021474,                 nan,                 nan,             0.68059,            0.033058,           0.0070581,           0.0070581
                  15,            0.056185,             0.40575,            0.023794,             0.11608,             0.20533,            0.065874,            0.019821,                 nan,                 nan,             0.61205,            0.028509,           0.0075089,           0.0075089
                  16,            0.055191,             0.41717,            0.022823,             0.11914,             0.22157,            0.073524,             0.02042,                 nan,                 nan,             0.38533,            0.023956,           0.0079565,           0.0079565
                  17,            0.053932,             0.38865,            0.021896,            0.067141,             0.22816,            0.040589,            0.011346,                 nan,                 nan,             0.37067,            0.019401,           0.0084007,           0.0084007
                  18,            0.054973,             0.41481,            0.022415,             0.15306,             0.35001,             0.11807,            0.037773,               0.094,              1.0461,             0.28112,            0.014842,           0.0088416,           0.0088416
                  19,            0.053323,             0.40596,            0.021909,             0.14915,             0.40333,             0.11787,            0.038104,            0.092727,             0.86609,             0.24233,            0.010279,           0.0092793,           0.0092793
                  20,            0.053176,             0.41763,            0.021178,             0.35489,             0.17634,             0.15832,            0.045676,            0.087919,             0.97424,             0.14746,             0.00934,             0.00934,             0.00934
                  21,             0.05362,             0.41013,            0.020934,             0.35297,             0.18654,             0.14646,            0.052474,            0.091033,             0.95862,             0.15691,             0.00934,             0.00934,             0.00934
                  22,            0.054587,             0.40027,            0.020847,             0.34256,             0.28026,             0.14417,             0.04437,            0.089232,               1.036,             0.13802,            0.009307,            0.009307,            0.009307
                  23,            0.053335,             0.40255,            0.020014,             0.19685,             0.61561,             0.21825,            0.074369,            0.079368,             0.85254,             0.10406,            0.009274,            0.009274,            0.009274
                  24,            0.051629,             0.38818,            0.020169,             0.18505,             0.60787,             0.19672,            0.060595,            0.079112,             0.78687,             0.10555,            0.009241,            0.009241,            0.009241
                  25,            0.052019,             0.40919,            0.019264,             0.21341,             0.33486,             0.16198,            0.063372,            0.065819,             0.93494,            0.064215,            0.009208,            0.009208,            0.009208
                  26,            0.053746,             0.40234,            0.020795,             0.40828,             0.29844,             0.19012,            0.069704,            0.062409,             0.83704,             0.06665,            0.009175,            0.009175,            0.009175
                  27,            0.054982,             0.42549,            0.020546,             0.36832,             0.28994,             0.17944,            0.067811,            0.069494,             0.73181,            0.073035,            0.009142,            0.009142,            0.009142
                  28,            0.052415,             0.40107,            0.019972,              0.4376,             0.39914,             0.30519,             0.11708,            0.059489,             0.72302,            0.047089,            0.009109,            0.009109,            0.009109
                  29,            0.051087,             0.42443,            0.019783,             0.43829,             0.28643,             0.22008,            0.086043,            0.057003,             0.78003,             0.06377,            0.009076,            0.009076,            0.009076
                  30,            0.049197,             0.39716,            0.018796,             0.28213,             0.70024,             0.36885,             0.14986,            0.054406,              0.6084,            0.037817,            0.009043,            0.009043,            0.009043
                  31,             0.05059,             0.41843,            0.019335,             0.45416,             0.33496,             0.28147,             0.11969,             0.05251,              0.7124,            0.046368,             0.00901,             0.00901,             0.00901
                  32,            0.050247,             0.40593,            0.019548,             0.29094,             0.70392,               0.353,             0.13539,            0.054087,             0.57874,            0.045197,            0.008977,            0.008977,            0.008977
                  33,            0.050456,             0.41127,             0.01901,             0.27362,             0.44164,              0.2614,             0.10591,            0.054943,             0.75354,            0.041022,            0.008944,            0.008944,            0.008944
                  34,            0.050917,             0.38796,            0.018754,             0.29002,             0.37199,             0.23838,             0.10358,            0.054672,             0.68066,            0.048401,            0.008911,            0.008911,            0.008911
                  35,            0.049564,             0.39583,            0.018643,             0.27076,             0.65447,             0.31234,             0.12935,            0.057353,             0.70361,            0.045758,            0.008878,            0.008878,            0.008878
                  36,            0.049656,             0.38749,            0.017891,             0.28694,             0.63153,             0.33452,             0.11455,            0.061147,              0.5575,            0.042157,            0.008845,            0.008845,            0.008845
                  37,            0.050627,             0.41866,            0.018206,             0.30313,             0.49398,             0.33899,             0.13774,            0.051319,              0.6886,            0.036023,            0.008812,            0.008812,            0.008812
                  38,            0.049105,             0.39882,            0.017973,             0.36317,             0.47836,             0.34347,             0.14314,            0.050771,             0.52832,            0.030927,            0.008779,            0.008779,            0.008779
                  39,            0.047214,             0.39044,            0.018557,             0.32165,             0.53173,             0.36732,              0.1657,            0.046125,              0.5802,            0.030609,            0.008746,            0.008746,            0.008746
                  40,            0.047883,             0.40179,            0.017508,             0.35537,              0.5236,             0.35372,             0.15653,            0.047083,             0.53931,            0.034351,            0.008713,            0.008713,            0.008713
                  41,            0.047963,             0.39478,            0.017473,             0.28545,             0.70647,             0.38773,             0.16057,            0.049529,             0.51135,            0.030475,             0.00868,             0.00868,             0.00868
                  42,             0.04878,             0.41397,            0.017178,             0.41178,             0.65084,             0.46713,             0.20302,            0.046797,             0.49182,            0.028259,            0.008647,            0.008647,            0.008647
