               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12088,             0.32963,            0.045532,            0.007025,            0.023059,           0.0039001,          0.00086534,             0.11952,             0.30727,            0.046362,              0.0964,              0.0004,              0.0004
                   1,             0.11742,             0.34799,            0.045229,            0.031462,              0.0326,            0.016314,           0.0041822,             0.11345,             0.29651,            0.046069,            0.091897,          0.00089703,          0.00089703
                   2,             0.10769,             0.37663,            0.044674,            0.053544,            0.060781,            0.029604,           0.0086889,            0.099947,              0.4425,            0.045715,            0.087391,           0.0013908,           0.0013908
                   3,            0.097789,             0.45717,            0.043835,            0.031168,            0.072019,            0.018382,             0.00547,            0.088789,             0.63245,            0.044629,            0.082881,           0.0018812,           0.0018812
                   4,            0.091838,              0.4486,            0.042655,            0.043553,            0.097278,            0.025098,           0.0064033,            0.086942,             0.74493,            0.043616,            0.078368,           0.0023683,           0.0023683
                   5,            0.087345,             0.46851,             0.04143,            0.054086,             0.12098,             0.03148,           0.0076917,            0.083226,             0.93396,             0.04386,            0.073852,           0.0028522,           0.0028522
                   6,            0.079531,             0.44342,             0.04055,            0.028166,            0.087676,            0.017483,            0.004647,            0.078175,             0.95093,            0.044617,            0.069333,           0.0033327,           0.0033327
                   7,            0.074466,             0.43381,            0.039761,            0.087309,             0.17826,            0.066341,            0.020571,            0.069369,              1.0819,            0.045276,             0.06481,           0.0038099,           0.0038099
                   8,            0.072004,             0.44128,            0.038754,            0.038169,             0.09727,            0.023079,           0.0077318,            0.083498,             0.79529,            0.044568,            0.060284,           0.0042838,           0.0042838
                   9,            0.067859,             0.45061,            0.038548,             0.18357,             0.20672,             0.10151,            0.036622,            0.065379,             0.69153,            0.043823,            0.055754,           0.0047545,           0.0047545
                  10,            0.065416,             0.40819,            0.038116,            0.095015,             0.16813,            0.055958,            0.021554,            0.077049,             0.63977,            0.042358,            0.051222,           0.0052218,           0.0052218
                  11,            0.065066,             0.45754,            0.037447,             0.13774,             0.22585,            0.092997,            0.037842,            0.065079,               0.599,            0.041138,            0.046686,           0.0056858,           0.0056858
                  12,            0.059456,             0.43925,            0.037173,             0.12865,             0.21634,            0.096788,            0.029116,            0.070742,             0.45044,            0.040332,            0.042147,           0.0061466,           0.0061466
                  13,            0.061842,             0.44715,            0.036584,             0.21676,             0.33193,             0.18745,            0.076071,            0.055393,             0.41711,            0.039709,            0.037604,            0.006604,            0.006604
