               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11652,             0.38503,            0.047277,            0.015071,            0.020641,           0.0080641,           0.0017958,             0.10932,             0.38013,            0.043091,              0.0964,              0.0004,              0.0004
                   1,             0.11318,             0.41985,             0.04689,            0.021233,            0.017738,            0.010883,           0.0022087,             0.10222,              0.3902,            0.042725,            0.091897,          0.00089703,          0.00089703
                   2,             0.10542,             0.40953,            0.046244,            0.016573,            0.035253,           0.0089055,           0.0022432,            0.095073,             0.42987,            0.043213,            0.087391,           0.0013908,           0.0013908
                   3,             0.10015,             0.44773,            0.045494,            0.049458,            0.083559,            0.031359,           0.0077237,            0.095238,                0.56,            0.045618,            0.082881,           0.0018812,           0.0018812
                   4,            0.094786,              0.4267,            0.044393,             0.05465,            0.081195,            0.031545,           0.0087622,            0.089767,             0.73572,             0.04679,            0.078368,           0.0023683,           0.0023683
                   5,            0.089382,             0.43653,            0.042511,             0.10117,            0.085486,            0.053019,            0.014529,            0.084868,             0.88867,            0.048218,            0.073852,           0.0028522,           0.0028522
                   6,            0.080814,             0.40582,            0.040261,             0.13619,             0.14221,            0.078159,            0.022718,            0.077081,              1.2079,            0.048108,            0.069333,           0.0033327,           0.0033327
                   7,            0.074567,              0.3961,            0.039124,            0.086222,             0.12878,            0.048038,            0.012686,            0.078078,             0.94507,            0.045508,             0.06481,           0.0038099,           0.0038099
                   8,            0.069632,             0.41314,             0.03795,             0.11608,             0.16095,             0.06973,            0.022412,             0.07092,             0.84131,            0.043481,            0.060284,           0.0042838,           0.0042838
                   9,            0.069085,             0.41533,             0.03738,             0.10913,             0.21155,            0.070791,            0.020784,            0.072106,             0.69434,            0.041418,            0.055754,           0.0047545,           0.0047545
                  10,            0.068659,             0.37232,            0.036899,             0.11714,             0.24073,            0.080937,             0.02775,             0.07223,             0.65295,            0.040234,            0.051222,           0.0052218,           0.0052218
                  11,            0.066919,             0.42301,            0.035803,             0.16791,             0.34261,             0.13206,            0.048112,            0.059549,             0.58643,            0.039124,            0.046686,           0.0056858,           0.0056858
                  12,            0.061087,             0.40259,            0.035124,             0.15003,             0.41636,             0.13412,            0.046041,            0.064837,             0.45673,            0.038135,            0.042147,           0.0061466,           0.0061466
                  13,            0.059946,             0.41802,            0.034145,             0.14314,             0.44992,             0.13587,            0.042669,            0.065014,             0.47754,            0.037689,            0.037604,            0.006604,            0.006604
                  14,            0.060313,              0.4025,            0.033312,             0.18443,             0.48284,             0.20993,            0.076924,            0.056114,             0.47638,            0.037115,            0.033058,           0.0070581,           0.0070581
                  15,            0.059805,              0.3974,            0.032136,             0.22613,             0.49488,             0.24641,             0.10596,            0.048631,             0.42627,            0.036774,            0.028509,           0.0075089,           0.0075089
                  16,            0.061408,             0.39549,            0.030719,             0.21472,              0.6393,             0.26493,             0.10934,            0.053269,             0.39178,            0.035535,            0.023956,           0.0079565,           0.0079565
                  17,              0.0564,             0.37969,            0.028972,              0.2471,             0.58204,             0.29289,             0.10772,            0.053865,             0.40942,            0.035077,            0.019401,           0.0084007,           0.0084007
                  18,            0.058405,             0.40056,            0.028185,             0.21709,             0.64848,             0.24718,            0.085466,            0.056535,             0.43463,            0.033569,            0.014842,           0.0088416,           0.0088416
                  19,            0.057845,             0.39342,            0.026913,             0.25872,             0.52238,             0.27185,             0.12144,            0.050795,             0.39514,            0.035614,            0.010279,           0.0092793,           0.0092793
                  20,            0.057338,             0.40699,            0.025517,             0.21066,             0.48673,             0.23245,            0.083618,            0.056581,             0.45886,            0.035626,             0.00934,             0.00934,             0.00934
                  21,             0.05346,             0.39899,            0.024276,             0.18198,             0.62986,             0.22017,            0.080224,            0.061818,             0.38635,            0.032861,             0.00934,             0.00934,             0.00934
                  22,            0.060893,             0.37939,            0.023589,             0.29738,             0.60354,             0.34233,             0.17204,            0.044884,             0.37769,            0.030945,            0.009307,            0.009307,            0.009307
                  23,            0.055973,             0.37956,            0.022232,             0.24667,             0.65178,             0.33138,             0.15176,            0.053027,             0.38318,             0.03075,            0.009274,            0.009274,            0.009274
                  24,            0.056895,             0.36983,             0.02194,             0.22773,              0.6453,             0.27529,             0.11092,            0.052886,             0.37109,            0.032904,            0.009241,            0.009241,            0.009241
                  25,            0.052431,             0.39094,            0.021221,             0.24156,             0.49675,             0.25901,             0.10246,            0.052278,             0.41095,            0.031299,            0.009208,            0.009208,            0.009208
                  26,             0.05262,             0.37544,            0.021365,             0.28318,             0.58668,             0.32389,             0.15045,            0.048101,             0.43591,            0.029016,            0.009175,            0.009175,            0.009175
                  27,            0.048918,             0.40596,            0.020342,             0.28221,             0.49923,              0.2591,             0.11993,            0.043402,             0.46857,            0.030975,            0.009142,            0.009142,            0.009142
                  28,            0.049217,             0.38096,            0.020183,              0.3625,             0.61369,             0.38047,              0.1743,            0.046033,             0.37054,            0.030615,            0.009109,            0.009109,            0.009109
                  29,            0.049738,              0.4048,            0.020158,             0.37128,              0.5659,             0.37363,             0.18702,            0.042548,             0.40369,            0.029761,            0.009076,            0.009076,            0.009076
                  30,             0.04791,             0.37933,            0.019019,             0.42675,             0.74654,             0.49819,             0.23412,            0.042271,             0.35773,            0.027875,            0.009043,            0.009043,            0.009043
                  31,            0.051261,             0.39772,            0.019451,             0.33196,             0.44544,             0.29875,             0.15747,            0.044277,             0.44629,            0.025964,             0.00901,             0.00901,             0.00901
                  32,             0.04834,             0.37913,            0.019137,             0.43286,             0.74453,             0.49476,             0.25887,             0.04115,             0.36847,            0.025916,            0.008977,            0.008977,            0.008977
                  33,             0.04656,             0.38338,            0.018823,             0.47786,             0.75046,             0.56098,             0.30914,            0.038251,             0.34973,            0.024719,            0.008944,            0.008944,            0.008944
                  34,            0.046198,             0.35931,            0.018735,             0.39441,             0.66624,             0.43136,             0.17581,            0.050749,             0.36481,            0.025201,            0.008911,            0.008911,            0.008911
                  35,            0.050315,             0.36602,            0.018714,             0.46195,             0.66315,             0.50988,             0.23881,            0.046766,             0.35919,            0.024274,            0.008878,            0.008878,            0.008878
                  36,            0.047638,             0.35919,            0.018113,             0.48919,             0.68861,             0.54435,             0.30691,            0.038851,             0.34418,            0.025354,            0.008845,            0.008845,            0.008845
                  37,            0.046594,             0.38496,            0.017867,             0.44695,             0.74372,             0.55313,             0.29439,            0.039106,             0.35699,            0.025409,            0.008812,            0.008812,            0.008812
                  38,            0.044434,             0.37295,            0.017694,             0.48545,             0.71038,             0.54574,             0.30938,             0.03827,             0.36157,            0.026031,            0.008779,            0.008779,            0.008779
                  39,             0.04556,             0.36325,            0.017708,             0.44504,              0.7494,             0.56611,             0.30871,             0.03963,             0.36572,             0.02428,            0.008746,            0.008746,            0.008746
                  40,            0.044172,             0.37778,            0.017375,             0.46084,             0.74272,             0.55575,             0.29568,            0.038705,             0.35785,            0.024603,            0.008713,            0.008713,            0.008713
                  41,            0.043395,             0.37241,            0.016846,             0.51407,             0.73171,             0.59465,             0.33633,            0.036724,             0.33368,            0.023553,             0.00868,             0.00868,             0.00868
                  42,            0.045155,             0.38644,            0.016879,             0.52756,             0.70785,             0.61486,             0.33547,            0.038242,             0.34497,            0.021924,            0.008647,            0.008647,            0.008647
                  43,            0.045538,               0.392,            0.016966,             0.52797,             0.70361,             0.60072,                0.33,            0.038212,             0.33484,            0.023792,            0.008614,            0.008614,            0.008614
                  44,            0.044185,              0.3529,            0.016866,              0.4991,             0.68944,             0.56514,             0.30437,            0.038842,             0.33557,            0.024811,            0.008581,            0.008581,            0.008581
                  45,            0.046039,             0.38222,            0.016809,             0.54644,             0.68921,             0.58911,             0.34282,            0.036657,             0.33899,            0.023785,            0.008548,            0.008548,            0.008548
                  46,             0.04536,             0.37785,            0.016621,             0.55885,             0.69336,              0.6107,             0.31721,            0.038861,              0.3291,            0.022552,            0.008515,            0.008515,            0.008515
                  47,            0.045508,             0.35936,            0.015924,              0.5756,             0.64966,             0.58954,             0.31491,            0.040148,             0.33612,            0.021667,            0.008482,            0.008482,            0.008482
                  48,            0.043237,             0.37173,            0.016739,             0.58582,             0.68937,             0.62612,             0.34406,            0.036777,             0.34113,            0.020892,            0.008449,            0.008449,            0.008449
                  49,            0.042366,             0.34578,            0.015235,             0.58441,             0.65427,             0.61069,             0.35045,            0.038508,             0.33313,            0.021613,            0.008416,            0.008416,            0.008416
                  50,            0.043838,             0.36189,            0.015673,             0.59743,             0.70366,             0.63249,             0.34543,            0.036494,             0.34296,            0.019751,            0.008383,            0.008383,            0.008383
                  51,            0.041831,              0.3546,            0.015533,             0.61193,             0.67978,             0.65154,             0.37018,            0.036531,             0.33667,            0.019452,             0.00835,             0.00835,             0.00835
                  52,            0.042858,             0.34787,            0.015501,             0.57523,             0.67257,             0.64631,             0.34056,            0.039185,             0.33459,            0.021729,            0.008317,            0.008317,            0.008317
                  53,            0.042849,             0.35395,            0.015195,             0.55813,             0.68702,             0.62876,             0.34652,            0.037089,              0.3335,            0.021558,            0.008284,            0.008284,            0.008284
                  54,            0.042931,             0.35428,            0.014856,              0.5961,             0.67367,             0.63487,             0.36464,            0.036969,             0.34058,            0.019342,            0.008251,            0.008251,            0.008251
                  55,            0.042847,             0.35433,             0.01517,             0.58068,             0.64589,             0.59484,              0.3365,            0.038404,             0.35321,            0.022815,            0.008218,            0.008218,            0.008218
                  56,            0.041844,             0.34799,             0.01497,             0.56577,             0.69895,             0.62696,             0.36777,            0.035003,             0.33813,            0.020178,            0.008185,            0.008185,            0.008185
                  57,            0.041796,              0.3644,            0.014581,             0.63047,             0.67265,             0.65394,             0.36367,            0.037139,             0.33276,            0.017758,            0.008152,            0.008152,            0.008152
                  58,            0.041462,             0.33387,            0.014667,             0.62777,             0.68438,             0.65274,             0.38246,            0.035315,             0.32855,            0.018005,            0.008119,            0.008119,            0.008119
                  59,            0.041476,             0.36281,               0.014,             0.57121,             0.63744,             0.59138,             0.33336,            0.040069,              0.3855,            0.022925,            0.008086,            0.008086,            0.008086
                  60,            0.040505,             0.34249,            0.013721,             0.65107,             0.65346,             0.65583,             0.39712,            0.035254,             0.34167,             0.01835,            0.008053,            0.008053,            0.008053
                  61,            0.040296,             0.36538,            0.014201,             0.63907,             0.66608,             0.65034,             0.37875,            0.036787,             0.33923,             0.01915,             0.00802,             0.00802,             0.00802
                  62,            0.041262,             0.35192,            0.013568,             0.64849,              0.6542,             0.64343,             0.37066,            0.037046,             0.33643,            0.018558,            0.007987,            0.007987,            0.007987
                  63,            0.042091,             0.35239,            0.013527,             0.63882,             0.66853,             0.64203,             0.37509,            0.035373,              0.3338,             0.01839,            0.007954,            0.007954,            0.007954
                  64,             0.04174,             0.35316,             0.01312,             0.63206,             0.67934,             0.65607,             0.37799,            0.036001,             0.33783,            0.016574,            0.007921,            0.007921,            0.007921
                  65,             0.04227,             0.34037,            0.013538,             0.64775,             0.60829,             0.59919,             0.33176,            0.039088,               0.375,            0.018277,            0.007888,            0.007888,            0.007888
                  66,            0.041747,              0.3264,            0.013002,              0.6195,             0.60292,             0.58891,             0.35614,            0.037752,             0.39917,            0.020459,            0.007855,            0.007855,            0.007855
                  67,            0.040458,             0.33643,            0.013652,             0.60562,             0.65816,             0.62404,             0.36228,            0.035933,             0.34387,            0.021967,            0.007822,            0.007822,            0.007822
                  68,            0.038265,             0.31381,            0.013014,             0.60286,             0.65021,             0.61343,             0.34849,            0.038417,             0.37213,            0.021259,            0.007789,            0.007789,            0.007789
                  69,            0.039558,             0.34185,            0.012827,             0.63154,             0.66921,             0.65138,             0.38644,            0.034856,             0.33215,            0.017889,            0.007756,            0.007756,            0.007756
