               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088915,             0.44146,            0.042492,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0838,              0.0018,              0.0018
                   1,            0.075497,             0.45354,            0.040895,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.066676,           0.0036756,           0.0036756
                   2,            0.071253,             0.43836,            0.040608,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.049526,           0.0055261,           0.0055261
                   3,            0.070312,             0.43225,            0.041337,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.032352,           0.0073515,           0.0073515
                   4,            0.067854,             0.43656,             0.04068,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.015152,           0.0091518,           0.0091518
                   5,            0.066797,             0.43745,            0.042201,            0.037129,            0.070516,            0.021961,           0.0054786,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                   6,            0.065886,              0.4376,            0.040769,             0.02183,             0.16352,            0.013167,           0.0030371,             0.10379,              1.0687,            0.053499,             0.00967,             0.00967,             0.00967
                   7,            0.064015,             0.40937,             0.03973,             0.10013,             0.27759,            0.075232,             0.02125,            0.076655,             0.66447,            0.042965,            0.009604,            0.009604,            0.009604
                   8,            0.061789,             0.41715,            0.038975,             0.22183,             0.35503,             0.15422,            0.050318,            0.067988,             0.69645,            0.045174,            0.009538,            0.009538,            0.009538
                   9,             0.05963,             0.40426,            0.038543,             0.14729,             0.31017,             0.11802,            0.038285,            0.076596,              0.4517,            0.046476,            0.009472,            0.009472,            0.009472
                  10,            0.060514,             0.40573,            0.038319,             0.15952,             0.31663,             0.13587,            0.045873,            0.069096,             0.49534,            0.044586,            0.009406,            0.009406,            0.009406
                  11,            0.058582,             0.41179,            0.037367,             0.19733,             0.48783,             0.18781,            0.084806,             0.05938,             0.42061,            0.044604,             0.00934,             0.00934,             0.00934
                  12,            0.057653,             0.42688,            0.037269,            0.095459,             0.30904,            0.089872,            0.035797,            0.065394,             0.58447,            0.052828,            0.009274,            0.009274,            0.009274
                  13,            0.057729,             0.42841,            0.036773,             0.10657,              0.3264,             0.10011,            0.037635,            0.065966,             0.63936,            0.054187,            0.009208,            0.009208,            0.009208
                  14,            0.056176,             0.39608,            0.035589,             0.21973,             0.55343,               0.239,             0.11206,            0.052374,              0.3787,            0.042529,            0.009142,            0.009142,            0.009142
                  15,            0.055328,             0.40843,            0.035076,             0.26974,             0.55804,             0.28222,             0.13083,            0.050913,             0.37663,             0.04045,            0.009076,            0.009076,            0.009076
                  16,             0.05525,             0.40293,            0.032597,             0.24456,               0.608,             0.24154,             0.10762,            0.052209,              0.3904,            0.040444,             0.00901,             0.00901,             0.00901
                  17,             0.05619,              0.4066,             0.03293,             0.22251,             0.46178,             0.19276,             0.08137,            0.060636,             0.41105,            0.043341,            0.008944,            0.008944,            0.008944
                  18,            0.055064,             0.41949,            0.032224,             0.22642,             0.56126,             0.21835,            0.097006,            0.051882,             0.40131,            0.045439,            0.008878,            0.008878,            0.008878
                  19,            0.055242,              0.4264,            0.031453,             0.24565,             0.62247,             0.30671,              0.1368,            0.047047,             0.35608,             0.04208,            0.008812,            0.008812,            0.008812
                  20,            0.054834,             0.41002,            0.028561,             0.28497,             0.44841,             0.28917,             0.12258,             0.05778,             0.40507,            0.036127,            0.008746,            0.008746,            0.008746
                  21,            0.058445,             0.42213,            0.028883,             0.17399,             0.37413,             0.16973,            0.071301,            0.070989,             0.40462,            0.043858,             0.00868,             0.00868,             0.00868
                  22,            0.056332,             0.40912,            0.027166,             0.20131,             0.26319,             0.14879,            0.063489,            0.064524,             0.55483,            0.063029,            0.008614,            0.008614,            0.008614
                  23,            0.053368,              0.3981,            0.027765,             0.23497,             0.59764,             0.30787,             0.14752,             0.04664,             0.43347,            0.035205,            0.008548,            0.008548,            0.008548
                  24,            0.052335,             0.39735,            0.026607,             0.34425,             0.61356,              0.3868,             0.15524,             0.05189,             0.38261,            0.029909,            0.008482,            0.008482,            0.008482
                  25,            0.052829,             0.40915,            0.026776,             0.29973,             0.70787,              0.3654,             0.18228,            0.046551,             0.38255,            0.031734,            0.008416,            0.008416,            0.008416
                  26,            0.053038,             0.39296,            0.024697,             0.22222,             0.53502,             0.23363,             0.11027,            0.053374,             0.37295,            0.091056,             0.00835,             0.00835,             0.00835
                  27,             0.05322,             0.40619,            0.026171,             0.26323,             0.57386,             0.30119,             0.14437,            0.047788,             0.37937,            0.054305,            0.008284,            0.008284,            0.008284
                  28,            0.051615,             0.42468,             0.02484,              0.2691,             0.56874,             0.34243,             0.16901,            0.047958,              0.4078,            0.033754,            0.008218,            0.008218,            0.008218
                  29,            0.052911,             0.42835,            0.024379,             0.35105,             0.65483,             0.38586,             0.18695,            0.047068,             0.37667,            0.033303,            0.008152,            0.008152,            0.008152
