               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08767,             0.44443,            0.042366,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0838,              0.0018,              0.0018
                   1,            0.075745,             0.46189,            0.041039,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.066676,           0.0036756,           0.0036756
                   2,            0.071953,             0.43235,            0.040361,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.049526,           0.0055261,           0.0055261
                   3,            0.069674,             0.44179,            0.041151,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.032352,           0.0073515,           0.0073515
                   4,            0.068954,             0.44331,            0.041103,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.015152,           0.0091518,           0.0091518
                   5,             0.06829,             0.45554,            0.042097,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                   6,            0.067047,             0.45782,             0.04126,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                   7,            0.066499,             0.41999,            0.040374,            0.055275,               0.168,            0.032746,           0.0081384,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   8,            0.062766,             0.42563,            0.039532,             0.05255,            0.088837,            0.017807,           0.0057937,                 nan,                 nan,                 nan,            0.009538,            0.009538,            0.009538
                   9,            0.063711,             0.41368,              0.0392,            0.069155,             0.22582,            0.050896,            0.016667,            0.082516,             0.62305,            0.056425,            0.009472,            0.009472,            0.009472
                  10,              0.0613,             0.41189,            0.038787,            0.090453,             0.23048,            0.074241,            0.025933,            0.066542,             0.49825,             0.04952,            0.009406,            0.009406,            0.009406
                  11,            0.059725,             0.41683,            0.038294,            0.097368,             0.33437,            0.070915,            0.021221,            0.075286,             0.50627,            0.053857,             0.00934,             0.00934,             0.00934
                  12,            0.056771,             0.42574,            0.038434,             0.19916,             0.43812,             0.16724,            0.058347,            0.065482,             0.43553,            0.049711,            0.009274,            0.009274,            0.009274
                  13,            0.057284,             0.43395,            0.037793,             0.17768,             0.52079,              0.1556,            0.054372,            0.056805,             0.44991,            0.048446,            0.009208,            0.009208,            0.009208
                  14,            0.054229,             0.40401,            0.036889,             0.20391,             0.43375,             0.16725,            0.061418,            0.066427,             0.40511,            0.051862,            0.009142,            0.009142,            0.009142
                  15,            0.054636,             0.41778,            0.036824,             0.23528,             0.63815,             0.24004,             0.10709,            0.048432,             0.38607,            0.040898,            0.009076,            0.009076,            0.009076
                  16,            0.053854,             0.40262,            0.034967,             0.27244,             0.62281,             0.26472,             0.11248,            0.048193,             0.36076,             0.04007,             0.00901,             0.00901,             0.00901
                  17,            0.055901,             0.41054,            0.034894,             0.23469,              0.5344,             0.22543,            0.098186,             0.05554,              0.3984,            0.042847,            0.008944,            0.008944,            0.008944
                  18,            0.054389,             0.40833,            0.034166,              0.2295,             0.52466,             0.20909,            0.091841,            0.050192,             0.40633,            0.043044,            0.008878,            0.008878,            0.008878
                  19,            0.053048,             0.40612,            0.032566,             0.25903,             0.63142,             0.31378,             0.13999,            0.045286,             0.36298,            0.039886,            0.008812,            0.008812,            0.008812
                  20,            0.051333,             0.39001,            0.031886,             0.29433,              0.6405,             0.34137,              0.1419,            0.046627,             0.35249,            0.035724,            0.008746,            0.008746,            0.008746
                  21,            0.052584,             0.39826,            0.031169,             0.25656,             0.57889,             0.28135,             0.13417,            0.045766,             0.37451,            0.041532,             0.00868,             0.00868,             0.00868
                  22,             0.05106,             0.39576,            0.029184,             0.23673,             0.59992,             0.27053,              0.1365,            0.043079,             0.34967,             0.05564,            0.008614,            0.008614,            0.008614
                  23,            0.049547,              0.3901,            0.028029,             0.22893,             0.49857,             0.26484,             0.13082,            0.046471,             0.39848,            0.050521,            0.008548,            0.008548,            0.008548
                  24,            0.050216,             0.39324,            0.027062,             0.31712,             0.64763,             0.38057,             0.17974,            0.044069,             0.35612,            0.034814,            0.008482,            0.008482,            0.008482
                  25,             0.05015,             0.40623,            0.026049,             0.29537,             0.64089,             0.37927,             0.17719,            0.045656,             0.35392,            0.036806,            0.008416,            0.008416,            0.008416
                  26,            0.050484,             0.39185,             0.02453,             0.25063,             0.57091,             0.23354,             0.10384,            0.057615,             0.40328,             0.13354,             0.00835,             0.00835,             0.00835
                  27,            0.050316,             0.40431,            0.025025,             0.23853,             0.51997,              0.2584,             0.12498,            0.047351,             0.41933,            0.042072,            0.008284,            0.008284,            0.008284
                  28,            0.050763,             0.41962,            0.023879,             0.37263,             0.48752,              0.3691,             0.16628,             0.04585,             0.36458,            0.036938,            0.008218,            0.008218,            0.008218
                  29,            0.051795,             0.42192,            0.024594,             0.27641,              0.4316,             0.27556,             0.12174,            0.053158,             0.45296,            0.042767,            0.008152,            0.008152,            0.008152
                  30,            0.049701,             0.38356,            0.024469,             0.39298,             0.59021,             0.44961,             0.22545,            0.041868,             0.34021,            0.031266,            0.008086,            0.008086,            0.008086
                  31,            0.050127,             0.42515,            0.023934,             0.31703,             0.68989,             0.41349,             0.19108,            0.044613,             0.38391,            0.030396,             0.00802,             0.00802,             0.00802
                  32,            0.048358,             0.39754,             0.02249,             0.36194,             0.70972,             0.45401,             0.23793,            0.042438,             0.34526,            0.030389,            0.007954,            0.007954,            0.007954
                  33,             0.04947,             0.40394,            0.021221,             0.34061,             0.30765,             0.27692,             0.13242,            0.057287,             0.59914,            0.033525,            0.007888,            0.007888,            0.007888
                  34,            0.048711,             0.36708,            0.021001,             0.33142,             0.44525,             0.30996,             0.15177,            0.047728,             0.48637,            0.033691,            0.007822,            0.007822,            0.007822
                  35,            0.048244,             0.38441,            0.021044,             0.28514,             0.55202,             0.32126,             0.16259,            0.044937,             0.43606,             0.03326,            0.007756,            0.007756,            0.007756
                  36,            0.047502,             0.38976,            0.019549,             0.40002,             0.63863,             0.42759,             0.20558,            0.043351,             0.33231,            0.033862,             0.00769,             0.00769,             0.00769
                  37,            0.046618,             0.38663,            0.022381,              0.3342,             0.57435,             0.34914,             0.17879,            0.044705,             0.34989,            0.046637,            0.007624,            0.007624,            0.007624
                  38,            0.046296,               0.383,            0.019519,             0.29307,             0.46082,             0.27997,             0.11846,            0.051762,             0.45097,            0.036149,            0.007558,            0.007558,            0.007558
                  39,            0.045768,             0.38619,            0.020018,              0.2929,             0.56828,             0.36888,             0.17197,            0.046573,             0.46885,            0.029307,            0.007492,            0.007492,            0.007492
                  40,            0.047606,             0.39725,            0.019547,             0.27636,             0.62278,              0.3675,             0.18134,            0.044375,             0.35933,            0.051957,            0.007426,            0.007426,            0.007426
                  41,             0.04924,             0.40853,            0.018795,             0.32588,             0.64784,             0.37087,             0.18115,            0.042284,             0.35246,            0.058915,             0.00736,             0.00736,             0.00736
                  42,            0.046948,             0.39486,            0.018377,             0.47374,             0.72007,             0.54968,             0.26845,            0.042164,             0.32977,            0.026756,            0.007294,            0.007294,            0.007294
                  43,            0.046355,             0.38458,            0.019169,             0.35502,             0.73158,             0.49338,             0.22815,            0.043806,             0.34583,            0.028605,            0.007228,            0.007228,            0.007228
                  44,             0.04644,             0.39821,            0.017686,             0.37938,             0.76792,              0.4893,             0.25113,            0.040083,             0.35921,            0.027789,            0.007162,            0.007162,            0.007162
                  45,             0.04755,               0.394,             0.01878,             0.47893,             0.74163,             0.55044,             0.27812,            0.040693,             0.32477,            0.023482,            0.007096,            0.007096,            0.007096
                  46,            0.046864,             0.39575,            0.017821,             0.41107,             0.68181,             0.54922,             0.27954,            0.038658,             0.35392,             0.02399,             0.00703,             0.00703,             0.00703
