               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10662,             0.43033,            0.045585,            0.022758,             0.10241,            0.013125,           0.0032039,            0.092221,              0.3998,            0.044295,              0.0838,              0.0018,              0.0018
                   1,            0.093644,             0.45305,            0.044319,            0.068543,             0.14561,            0.059808,            0.015896,            0.084609,             0.62099,            0.043127,            0.066676,           0.0036756,           0.0036756
                   2,            0.081754,             0.41763,            0.041622,             0.10684,             0.39853,            0.090686,            0.028708,            0.073073,             0.54193,            0.042212,            0.049526,           0.0055261,           0.0055261
                   3,            0.076158,             0.41302,            0.039707,            0.042783,             0.19478,            0.027445,           0.0067847,             0.08507,             0.65334,            0.042399,            0.032352,           0.0073515,           0.0073515
                   4,            0.071452,             0.41901,             0.03746,            0.075479,             0.43859,            0.087806,            0.029195,            0.069076,             0.74898,             0.04176,            0.015152,           0.0091518,           0.0091518
                   5,            0.067606,             0.43131,            0.036807,             0.14743,              0.4949,             0.14191,            0.057365,            0.061289,             0.59467,            0.040147,             0.00967,             0.00967,             0.00967
                   6,            0.062564,             0.42613,            0.035264,             0.11545,             0.46551,             0.12382,             0.03615,            0.064159,             0.59281,             0.04031,             0.00967,             0.00967,             0.00967
                   7,            0.062119,             0.39267,            0.034081,              0.1758,             0.56976,             0.21748,            0.062696,            0.067799,             0.38635,            0.037488,            0.009604,            0.009604,            0.009604
                   8,            0.060107,             0.40024,            0.032427,             0.21133,             0.62589,             0.25945,             0.10463,            0.052834,             0.41376,            0.036442,            0.009538,            0.009538,            0.009538
                   9,            0.058672,             0.38408,            0.030773,             0.25055,             0.62536,              0.2972,            0.098499,            0.060102,             0.33785,            0.035221,            0.009472,            0.009472,            0.009472
                  10,            0.056671,             0.38527,            0.028859,             0.14785,             0.59309,             0.17889,            0.062959,             0.06443,             0.39768,            0.032542,            0.009406,            0.009406,            0.009406
                  11,            0.056302,             0.39096,            0.027442,               0.311,             0.74379,             0.37796,             0.16254,            0.043861,             0.32475,            0.030882,             0.00934,             0.00934,             0.00934
                  12,            0.051943,             0.39822,            0.026098,             0.36089,             0.75365,             0.46797,             0.25018,            0.043451,              0.3347,            0.029873,            0.009274,            0.009274,            0.009274
                  13,            0.049689,             0.40172,            0.024749,             0.38405,             0.77657,             0.49412,              0.2482,            0.040123,             0.32276,            0.029608,            0.009208,            0.009208,            0.009208
                  14,            0.047213,             0.37202,            0.023377,             0.28666,             0.70468,             0.36433,             0.17072,            0.044156,             0.32905,            0.028573,            0.009142,            0.009142,            0.009142
                  15,            0.047719,             0.38082,            0.022993,             0.37574,              0.7484,              0.4985,             0.22177,            0.043215,             0.32023,            0.027649,            0.009076,            0.009076,            0.009076
                  16,            0.052572,             0.36101,             0.02086,             0.39219,              0.7535,             0.50555,             0.22554,            0.042479,             0.31451,            0.026906,             0.00901,             0.00901,             0.00901
                  17,            0.048011,             0.36165,            0.020573,             0.25135,             0.66917,             0.32325,             0.16033,            0.042701,              0.3179,            0.027122,            0.008944,            0.008944,            0.008944
                  18,            0.048359,             0.37115,            0.020652,             0.43175,             0.74572,             0.53219,             0.26778,            0.038153,             0.31678,            0.026088,            0.008878,            0.008878,            0.008878
                  19,            0.044375,             0.37176,            0.020131,             0.45552,             0.75217,             0.53392,             0.30642,            0.036416,             0.31112,            0.025824,            0.008812,            0.008812,            0.008812
                  20,            0.045009,             0.35487,            0.019843,             0.46969,             0.72681,             0.51399,             0.29863,             0.03622,             0.32258,            0.026044,            0.008746,            0.008746,            0.008746
                  21,             0.04363,             0.36236,            0.019396,              0.4621,             0.72738,             0.52033,             0.29517,            0.035585,             0.32126,            0.027142,             0.00868,             0.00868,             0.00868
                  22,             0.04505,             0.35239,            0.018742,             0.44078,             0.70443,             0.49673,             0.26944,            0.038769,             0.31898,            0.026147,            0.008614,            0.008614,            0.008614
                  23,            0.045002,             0.35068,            0.018752,             0.46206,             0.77264,             0.55776,             0.31504,            0.034825,             0.30914,              0.0249,            0.008548,            0.008548,            0.008548
                  24,            0.042533,              0.3461,            0.018748,             0.47867,             0.71854,              0.5482,             0.28229,            0.038514,             0.32837,            0.024597,            0.008482,            0.008482,            0.008482
                  25,            0.041737,              0.3548,            0.018128,             0.47634,             0.74563,             0.57152,             0.34863,             0.03239,              0.3065,            0.023411,            0.008416,            0.008416,            0.008416
                  26,             0.04042,             0.33814,            0.017965,             0.52632,              0.6816,             0.57856,             0.33852,             0.03469,             0.31386,            0.022609,             0.00835,             0.00835,             0.00835
                  27,            0.041949,             0.35455,            0.017922,             0.49669,             0.75481,             0.59096,             0.35088,            0.032566,             0.30302,            0.022941,            0.008284,            0.008284,            0.008284
                  28,            0.040108,             0.36101,            0.017703,             0.52425,             0.72448,             0.58589,             0.34818,            0.033966,             0.30931,            0.023086,            0.008218,            0.008218,            0.008218
                  29,            0.040361,             0.36322,            0.017679,             0.49472,             0.72311,             0.58373,             0.34273,            0.033588,             0.31129,            0.023423,            0.008152,            0.008152,            0.008152
                  30,            0.039826,             0.32875,            0.017436,             0.53149,             0.71112,               0.594,             0.34586,             0.03426,               0.313,            0.022605,            0.008086,            0.008086,            0.008086
                  31,            0.040158,             0.36396,            0.017043,             0.55296,             0.70287,             0.60142,             0.34731,               0.034,             0.31352,            0.022075,             0.00802,             0.00802,             0.00802
                  32,            0.041743,             0.34023,            0.016748,             0.55377,             0.68489,             0.60748,             0.35532,            0.034121,             0.30912,            0.021744,            0.007954,            0.007954,            0.007954
                  33,            0.040902,             0.34468,            0.015852,             0.52482,             0.71706,             0.59146,              0.3382,            0.034784,             0.30911,            0.022623,            0.007888,            0.007888,            0.007888
                  34,            0.039009,             0.31106,            0.016442,             0.56026,             0.68411,             0.59935,             0.33934,            0.035961,             0.32392,            0.021803,            0.007822,            0.007822,            0.007822
                  35,            0.040171,             0.32255,             0.01682,             0.57197,             0.68564,             0.61522,             0.32166,            0.037439,             0.31824,            0.021463,            0.007756,            0.007756,            0.007756
                  36,             0.03884,             0.32497,            0.016045,             0.55798,             0.69926,             0.62447,             0.38036,            0.031766,             0.31719,            0.021621,             0.00769,             0.00769,             0.00769
                  37,            0.037666,             0.32703,            0.016843,             0.57475,             0.67153,             0.60065,             0.36493,            0.032775,             0.32367,             0.02219,            0.007624,            0.007624,            0.007624
                  38,            0.037163,             0.32155,            0.015403,             0.62069,             0.65169,             0.61966,             0.34625,            0.035413,             0.33217,            0.020688,            0.007558,            0.007558,            0.007558
                  39,            0.037842,             0.32023,            0.015267,             0.58338,             0.68095,             0.61893,             0.36642,            0.034081,             0.32961,            0.020558,            0.007492,            0.007492,            0.007492
                  40,            0.039236,             0.32858,             0.01524,             0.57991,             0.69273,             0.63845,             0.38919,            0.032095,             0.31652,              0.0208,            0.007426,            0.007426,            0.007426
                  41,            0.036508,             0.33356,            0.014486,             0.58841,             0.68248,             0.63057,             0.37649,            0.033192,             0.32645,            0.019876,             0.00736,             0.00736,             0.00736
                  42,            0.036618,              0.3273,            0.014668,             0.61383,              0.7047,             0.65051,              0.3948,            0.031932,               0.312,            0.018829,            0.007294,            0.007294,            0.007294
                  43,            0.038895,             0.31523,            0.015018,             0.61512,               0.698,             0.65299,             0.40204,            0.031684,             0.31138,            0.018716,            0.007228,            0.007228,            0.007228
                  44,            0.037092,              0.3254,            0.014285,             0.59436,             0.68858,             0.64103,             0.38252,            0.033067,             0.32177,             0.02014,            0.007162,            0.007162,            0.007162
                  45,            0.036809,             0.31479,            0.014357,             0.60947,               0.681,              0.6315,             0.37279,            0.034108,             0.33817,            0.020122,            0.007096,            0.007096,            0.007096
                  46,            0.036497,             0.32126,            0.014026,             0.62993,             0.67027,             0.64413,             0.39158,            0.033277,             0.32585,            0.019818,             0.00703,             0.00703,             0.00703
                  47,            0.036364,             0.30824,            0.013684,             0.60161,             0.69089,             0.63522,             0.39641,            0.031388,             0.32371,            0.020444,            0.006964,            0.006964,            0.006964
                  48,            0.035529,             0.30001,            0.013707,             0.61389,             0.68258,             0.64062,             0.38573,            0.032812,             0.32921,            0.019351,            0.006898,            0.006898,            0.006898
                  49,            0.036105,             0.30187,            0.013614,             0.63066,             0.67734,             0.64685,             0.38638,             0.03448,              0.3324,            0.018134,            0.006832,            0.006832,            0.006832
                  50,            0.037679,             0.30954,            0.012755,             0.62843,              0.6981,             0.65033,             0.40014,            0.031822,             0.32057,            0.018729,            0.006766,            0.006766,            0.006766
                  51,            0.034629,             0.29585,            0.013108,             0.62621,             0.66934,             0.65622,             0.40216,            0.032185,             0.32918,            0.019555,              0.0067,              0.0067,              0.0067
                  52,            0.034557,             0.29592,            0.012902,             0.57738,              0.7118,             0.64127,             0.38803,            0.033563,             0.33176,            0.020311,            0.006634,            0.006634,            0.006634
                  53,            0.034173,             0.29472,            0.012819,             0.63614,             0.69547,             0.65298,             0.40208,            0.032544,             0.32999,            0.019845,            0.006568,            0.006568,            0.006568
                  54,            0.034036,             0.29675,            0.012931,             0.62787,             0.69726,             0.64832,             0.38803,            0.034098,              0.3396,             0.02144,            0.006502,            0.006502,            0.006502
                  55,            0.034736,             0.29904,            0.012362,             0.60038,             0.67591,             0.63505,             0.39863,            0.034782,             0.34371,            0.022577,            0.006436,            0.006436,            0.006436
                  56,            0.033918,             0.29002,            0.012378,             0.60849,             0.68179,             0.64244,             0.38931,            0.033872,             0.33787,            0.019819,             0.00637,             0.00637,             0.00637
                  57,            0.034274,             0.30558,            0.012028,             0.63684,              0.6649,             0.64435,             0.38893,             0.03282,              0.3377,            0.018156,            0.006304,            0.006304,            0.006304
                  58,            0.034857,             0.28538,            0.011512,             0.63892,             0.68492,             0.65556,             0.38874,            0.034097,             0.33458,            0.017685,            0.006238,            0.006238,            0.006238
                  59,            0.035015,             0.28912,            0.011659,             0.64797,             0.67361,             0.65837,              0.4096,             0.03174,             0.32588,            0.017145,            0.006172,            0.006172,            0.006172
                  60,            0.033094,              0.2893,            0.011322,             0.64921,             0.67737,             0.65603,             0.40705,             0.03221,             0.33627,            0.018197,            0.006106,            0.006106,            0.006106
                  61,            0.033823,             0.28016,            0.011953,             0.61983,             0.69954,             0.64026,             0.39086,            0.033222,             0.33528,            0.019396,             0.00604,             0.00604,             0.00604
                  62,            0.033421,             0.29098,            0.011306,             0.61442,             0.67203,             0.64304,             0.40367,            0.031736,             0.33242,            0.019527,            0.005974,            0.005974,            0.005974
                  63,            0.033566,             0.29187,            0.011945,             0.64746,             0.68748,             0.66802,             0.41209,            0.032356,             0.32764,            0.017443,            0.005908,            0.005908,            0.005908
                  64,            0.034296,             0.28305,            0.010664,             0.64783,             0.69111,             0.66715,             0.41444,            0.032425,              0.3313,            0.017012,            0.005842,            0.005842,            0.005842
                  65,            0.033055,             0.27822,            0.010891,             0.61432,             0.69688,             0.63613,             0.39101,            0.032551,             0.34059,            0.020557,            0.005776,            0.005776,            0.005776
                  66,            0.033146,             0.26417,            0.010742,             0.62814,             0.69516,              0.6507,             0.38475,            0.033643,             0.33837,            0.018752,             0.00571,             0.00571,             0.00571
                  67,            0.033145,             0.27876,            0.011019,             0.62552,              0.6919,              0.6493,             0.40174,            0.032128,             0.33495,            0.019877,            0.005644,            0.005644,            0.005644
                  68,            0.033755,              0.2551,            0.010495,             0.62773,             0.67572,             0.63904,              0.3945,            0.032621,             0.34045,            0.019372,            0.005578,            0.005578,            0.005578
                  69,            0.031656,             0.27776,            0.010783,             0.63537,             0.69997,             0.64835,             0.40036,            0.031995,             0.34124,             0.01815,            0.005512,            0.005512,            0.005512
                  70,            0.032176,             0.27604,            0.010769,             0.63022,             0.66593,             0.64442,             0.39641,            0.032943,             0.34729,            0.017795,            0.005446,            0.005446,            0.005446
                  71,             0.03254,             0.27719,            0.010975,             0.62539,             0.67765,             0.64672,             0.39867,            0.032614,             0.35008,            0.018803,             0.00538,             0.00538,             0.00538
                  72,            0.033357,             0.27581,            0.010007,             0.62163,             0.69773,             0.64743,             0.39927,            0.032822,             0.34814,            0.017837,            0.005314,            0.005314,            0.005314
                  73,            0.031879,              0.2717,            0.010083,             0.63302,             0.69673,             0.66307,             0.40686,            0.032791,             0.34008,            0.017432,            0.005248,            0.005248,            0.005248
                  74,            0.032396,             0.26867,           0.0095511,             0.61588,             0.70905,             0.67064,             0.41386,            0.031994,             0.33736,            0.017183,            0.005182,            0.005182,            0.005182
                  75,            0.030469,             0.26357,            0.009558,             0.65025,             0.68255,             0.66259,             0.41104,            0.032386,             0.34605,            0.017313,            0.005116,            0.005116,            0.005116
                  76,            0.031367,             0.26703,           0.0097757,             0.63619,             0.66757,             0.64861,             0.40688,            0.031724,              0.3391,            0.019801,             0.00505,             0.00505,             0.00505
                  77,            0.029662,             0.26104,           0.0098543,             0.62688,             0.67907,             0.65555,             0.41022,            0.032169,             0.34465,             0.01905,            0.004984,            0.004984,            0.004984
                  78,            0.031031,             0.26091,           0.0089565,             0.62115,             0.68045,             0.63565,             0.38806,            0.032893,             0.34989,            0.018787,            0.004918,            0.004918,            0.004918
                  79,            0.030631,             0.25685,           0.0089635,             0.61171,             0.68713,             0.63331,             0.39026,            0.033084,             0.35722,            0.019048,            0.004852,            0.004852,            0.004852
                  80,            0.031522,             0.26176,           0.0093839,             0.62729,             0.67884,             0.64763,             0.40496,            0.032015,             0.34703,            0.019048,            0.004786,            0.004786,            0.004786
                  81,            0.030139,             0.25329,           0.0089226,             0.62886,             0.69763,             0.65395,              0.4089,            0.032114,             0.34541,            0.019243,             0.00472,             0.00472,             0.00472
                  82,            0.030857,             0.26427,            0.008905,             0.65531,              0.6772,             0.66901,              0.4181,             0.03196,              0.3467,            0.017698,            0.004654,            0.004654,            0.004654
                  83,            0.029887,             0.25546,           0.0091428,             0.64037,             0.68101,             0.66003,             0.41077,            0.032585,             0.35272,            0.018087,            0.004588,            0.004588,            0.004588
                  84,            0.031218,             0.25987,           0.0092128,             0.64561,             0.65221,             0.65325,             0.40487,            0.032824,             0.35722,            0.018961,            0.004522,            0.004522,            0.004522
                  85,            0.031018,              0.2658,           0.0089214,             0.64018,             0.65376,             0.64755,             0.40023,            0.033141,             0.36464,            0.019574,            0.004456,            0.004456,            0.004456
                  86,            0.030563,             0.25601,           0.0089034,             0.61766,             0.69923,             0.64778,             0.40206,            0.032618,             0.35848,            0.018915,             0.00439,             0.00439,             0.00439
                  87,            0.030731,             0.25688,           0.0090864,             0.63067,             0.67735,              0.6479,             0.39406,            0.033494,             0.36448,            0.019256,            0.004324,            0.004324,            0.004324
                  88,            0.029964,             0.25907,           0.0085742,             0.63305,             0.67927,             0.64848,             0.40413,            0.032178,             0.35409,            0.019304,            0.004258,            0.004258,            0.004258
                  89,            0.030328,             0.24239,           0.0088197,             0.62862,             0.70503,             0.65493,             0.40692,            0.032834,             0.35996,            0.019171,            0.004192,            0.004192,            0.004192
                  90,            0.031033,             0.27506,           0.0087581,             0.63574,             0.67973,             0.65675,             0.40604,            0.032624,             0.35636,            0.017744,            0.004126,            0.004126,            0.004126
                  91,            0.030826,             0.25152,           0.0084278,             0.63937,             0.68211,             0.65503,             0.40968,            0.032801,             0.35948,            0.018475,             0.00406,             0.00406,             0.00406
                  92,            0.029483,             0.23719,           0.0081948,             0.63182,              0.6976,             0.65262,             0.40839,            0.032482,              0.3549,            0.020157,            0.003994,            0.003994,            0.003994
                  93,            0.029578,             0.24563,           0.0081796,             0.63973,             0.69323,             0.66416,             0.41504,            0.032619,             0.35978,            0.018713,            0.003928,            0.003928,            0.003928
                  94,            0.028507,              0.2493,           0.0082112,             0.62954,             0.71192,             0.67006,             0.42177,            0.032115,             0.35872,              0.0169,            0.003862,            0.003862,            0.003862
                  95,            0.029911,             0.25316,            0.008022,             0.64081,              0.6789,             0.65998,             0.41413,            0.032511,             0.35974,            0.017379,            0.003796,            0.003796,            0.003796
                  96,            0.028823,             0.24502,           0.0079746,             0.64147,              0.6671,             0.65042,              0.4096,            0.032837,             0.36562,            0.018978,             0.00373,             0.00373,             0.00373
                  97,            0.029163,             0.25575,           0.0078538,             0.63055,             0.68914,             0.65747,             0.41528,            0.032233,             0.36241,            0.019731,            0.003664,            0.003664,            0.003664
                  98,            0.029961,             0.24618,           0.0079086,             0.62284,             0.68309,             0.65369,             0.41203,            0.032448,             0.36464,            0.019248,            0.003598,            0.003598,            0.003598
                  99,            0.029723,             0.25522,           0.0074721,             0.62871,             0.68721,             0.65121,             0.40857,            0.032475,             0.36977,            0.018417,            0.003532,            0.003532,            0.003532
                 100,            0.028084,             0.23762,           0.0075325,             0.63597,             0.70327,             0.65318,             0.40959,            0.032332,             0.36733,            0.017681,            0.003466,            0.003466,            0.003466
                 101,             0.02837,             0.24708,           0.0076141,             0.63679,             0.69397,             0.66286,              0.4182,             0.03206,             0.36503,            0.017894,              0.0034,              0.0034,              0.0034
                 102,            0.028627,             0.23434,           0.0073584,             0.64163,             0.71017,              0.6564,             0.41075,            0.032429,             0.36306,            0.018913,            0.003334,            0.003334,            0.003334
                 103,            0.028929,             0.24869,           0.0077512,             0.63462,             0.69727,             0.65601,             0.41319,             0.03209,             0.36257,            0.018676,            0.003268,            0.003268,            0.003268
                 104,            0.028933,             0.24623,           0.0072236,             0.63421,             0.69865,             0.65398,             0.41153,             0.03204,             0.36348,            0.018132,            0.003202,            0.003202,            0.003202
                 105,            0.027483,             0.22692,           0.0071849,             0.62317,             0.70085,             0.64677,             0.40571,            0.032437,             0.37095,            0.018827,            0.003136,            0.003136,            0.003136
                 106,            0.027705,             0.23184,           0.0072898,             0.62753,             0.71546,             0.65413,             0.40885,            0.032359,             0.36405,            0.018663,             0.00307,             0.00307,             0.00307
                 107,            0.027411,             0.22902,           0.0071035,             0.62545,             0.70608,             0.65146,             0.41106,            0.031853,             0.35919,            0.021263,            0.003004,            0.003004,            0.003004
                 108,            0.028434,             0.24384,           0.0072779,              0.6479,             0.69546,             0.66303,             0.41542,            0.031887,             0.35915,            0.018271,            0.002938,            0.002938,            0.002938
                 109,            0.027436,             0.23569,            0.007077,             0.64691,             0.68441,             0.65788,             0.41231,            0.032021,             0.36664,            0.017998,            0.002872,            0.002872,            0.002872
                 110,              0.0283,             0.23821,            0.007153,              0.6346,             0.69449,             0.65548,             0.41199,            0.032097,             0.36641,            0.018698,            0.002806,            0.002806,            0.002806
                 111,            0.027773,             0.24043,           0.0072112,             0.63833,             0.69766,             0.66061,             0.41564,            0.032106,             0.36975,            0.019458,             0.00274,             0.00274,             0.00274
                 112,            0.027489,             0.22976,           0.0065679,             0.64125,             0.69714,             0.65797,             0.41331,            0.032426,             0.37376,            0.018374,            0.002674,            0.002674,            0.002674
                 113,            0.028147,              0.2386,           0.0067904,             0.64239,             0.69257,             0.64984,             0.41174,            0.032378,             0.37638,            0.019736,            0.002608,            0.002608,            0.002608
                 114,            0.026755,             0.22896,           0.0067312,             0.62571,             0.69322,             0.63685,             0.40294,            0.032669,             0.38127,            0.022074,            0.002542,            0.002542,            0.002542
                 115,            0.027382,             0.23707,           0.0064702,             0.61448,             0.69912,             0.63962,             0.40395,            0.032371,             0.37347,            0.023004,            0.002476,            0.002476,            0.002476
                 116,            0.028325,             0.24196,           0.0066213,               0.638,             0.70037,             0.65115,             0.41272,            0.032166,             0.37122,            0.021106,             0.00241,             0.00241,             0.00241
                 117,            0.027427,             0.23038,           0.0067198,             0.64302,             0.68576,              0.6464,             0.40932,            0.032397,              0.3741,            0.021068,            0.002344,            0.002344,            0.002344
                 118,            0.027492,             0.22916,           0.0063562,             0.62623,             0.70085,             0.64835,             0.40993,            0.032468,             0.37545,            0.020793,            0.002278,            0.002278,            0.002278
                 119,            0.026767,             0.22939,           0.0064797,             0.62143,              0.7231,             0.65713,             0.41731,            0.032141,             0.37628,            0.018427,            0.002212,            0.002212,            0.002212
                 120,            0.027519,             0.23047,           0.0065252,             0.65262,              0.6785,             0.65493,             0.41615,            0.032333,             0.37734,            0.017948,            0.002146,            0.002146,            0.002146
                 121,            0.026909,             0.22718,           0.0062837,              0.6434,             0.68689,             0.65482,             0.41577,            0.032167,             0.37349,            0.017692,             0.00208,             0.00208,             0.00208
                 122,            0.026161,             0.22227,           0.0063198,              0.6247,             0.69844,             0.65687,              0.4183,            0.031968,             0.37335,            0.018091,            0.002014,            0.002014,            0.002014
                 123,            0.026302,             0.22698,           0.0063078,             0.62624,             0.70233,             0.65419,             0.41547,            0.032081,             0.37494,            0.018882,            0.001948,            0.001948,            0.001948
                 124,            0.026588,             0.23082,           0.0062655,             0.62231,             0.69975,             0.64737,             0.41131,            0.032155,             0.37655,            0.020073,            0.001882,            0.001882,            0.001882
                 125,            0.025599,             0.22013,           0.0062382,             0.64587,              0.6726,             0.64937,             0.41251,            0.032125,             0.37852,             0.02046,            0.001816,            0.001816,            0.001816
                 126,            0.026727,             0.22304,           0.0063314,             0.62621,             0.71611,             0.66001,             0.41707,            0.031945,             0.37327,            0.019361,             0.00175,             0.00175,             0.00175
                 127,            0.026567,             0.22828,           0.0061572,             0.63403,             0.70525,             0.65459,             0.41513,            0.031947,             0.37457,            0.020004,            0.001684,            0.001684,            0.001684
                 128,            0.026005,             0.23203,           0.0062251,             0.64699,             0.67635,             0.64628,             0.41086,            0.032134,             0.37722,            0.020457,            0.001618,            0.001618,            0.001618
                 129,            0.026892,             0.23312,           0.0062056,             0.62775,             0.70671,             0.65198,              0.4136,            0.032246,             0.37972,            0.019102,            0.001552,            0.001552,            0.001552
                 130,            0.025689,             0.21833,           0.0061513,             0.65907,             0.67042,             0.65271,             0.41363,            0.032239,             0.37927,            0.018923,            0.001486,            0.001486,            0.001486
                 131,            0.027423,             0.24102,           0.0060702,             0.64941,             0.68331,             0.65337,             0.41346,            0.032271,             0.38033,            0.020212,             0.00142,             0.00142,             0.00142
                 132,            0.025563,             0.21438,           0.0056742,             0.63265,              0.6939,             0.65054,             0.41031,            0.032428,             0.38637,            0.020538,            0.001354,            0.001354,            0.001354
                 133,             0.02586,             0.21669,           0.0056197,             0.64688,             0.69015,             0.66303,             0.41896,            0.032237,             0.38586,            0.018103,            0.001288,            0.001288,            0.001288
                 134,            0.025685,             0.21409,           0.0053212,             0.63786,             0.70863,             0.66348,             0.41949,            0.032225,             0.38572,            0.018776,            0.001222,            0.001222,            0.001222
                 135,            0.026373,             0.22945,           0.0059414,             0.64237,              0.6934,             0.65612,             0.41659,            0.032136,              0.3843,             0.02035,            0.001156,            0.001156,            0.001156
                 136,            0.025929,             0.22481,           0.0057101,             0.64938,             0.68886,             0.65433,             0.41633,            0.032164,              0.3845,            0.020029,             0.00109,             0.00109,             0.00109
                 137,            0.026283,             0.21909,           0.0056957,             0.63146,             0.70779,             0.65714,             0.41706,            0.032308,              0.3854,            0.019116,            0.001024,            0.001024,            0.001024
                 138,            0.025244,             0.21668,           0.0056788,             0.64285,             0.69925,             0.66063,             0.41997,            0.032201,             0.38371,            0.018851,            0.000958,            0.000958,            0.000958
                 139,            0.025457,             0.21175,           0.0056451,             0.66633,             0.67353,             0.65775,             0.41745,            0.032307,             0.38654,            0.019043,            0.000892,            0.000892,            0.000892
                 140,            0.025863,             0.21252,           0.0054746,             0.64893,             0.69165,             0.65525,             0.41679,            0.032304,             0.38733,             0.01951,            0.000826,            0.000826,            0.000826
                 141,            0.025878,             0.21976,           0.0056932,             0.62473,             0.71434,             0.65064,             0.41291,            0.032514,              0.3894,            0.019915,             0.00076,             0.00076,             0.00076
                 142,            0.026107,             0.22281,           0.0057177,             0.65453,             0.68082,             0.65326,             0.41536,            0.032431,             0.38938,            0.019218,            0.000694,            0.000694,            0.000694
                 143,            0.025076,             0.21206,           0.0057045,             0.66449,              0.6699,             0.65339,             0.41431,             0.03239,              0.3903,            0.018814,            0.000628,            0.000628,            0.000628
                 144,            0.025246,             0.22121,            0.005493,             0.64889,             0.68553,             0.65541,             0.41736,            0.032328,             0.38965,            0.019143,            0.000562,            0.000562,            0.000562
                 145,            0.024434,              0.2002,           0.0053339,              0.6247,             0.71856,             0.65476,             0.41729,            0.032178,             0.38898,            0.019939,            0.000496,            0.000496,            0.000496
                 146,            0.025927,             0.22179,           0.0058274,             0.65417,             0.67476,             0.65576,             0.41694,            0.032135,              0.3891,            0.019901,             0.00043,             0.00043,             0.00043
                 147,            0.025079,             0.21298,           0.0052787,             0.65306,             0.68283,             0.65705,             0.41793,            0.032185,             0.38841,              0.0192,            0.000364,            0.000364,            0.000364
                 148,            0.024875,              0.2075,           0.0054598,             0.65401,             0.68216,             0.65595,             0.41674,            0.032221,             0.38871,            0.019207,            0.000298,            0.000298,            0.000298
